Qen,Aen1,Aen2,Qfr,Afr1,Afr2
Worst 3 days per month,Hemorroids,Diarrhea,Le pires à avoir 3 jours par mois,Hémorroïdes,Diarrhée
Awkward pharmacy purchase,XS Condoms,Laxatives,Achat gênant en pharmacie,Préservatifs XS,Laxatifs
Your underwear,Super sexy,Super Practical,Vos sous-vêtements,Super sexy,Super pratique
Feeding at the park,The squirrels,The pigeons,Nourrir les animaux au parc,Les écureuils,Les pigeons
Free vacation,Camping on paradise beach,5 stars hotel in city,Vacances gratuites,Camping sur une plage paradisiaque,Hôtel 5 étoiles en ville
Own a pet,Tiger,Snake,Posséder un animal de compagnie,Tigre,Serpent
Have diarrhea,On the train,At work,Avoir la diarrhée,Dans le train,Au travail
Job at disneyland,Mascot,Ride Operator,Emploi à Disneyland,Mascotte,Opérateur de manège
Worst to be terrible at,Grammar,Sex,Le pire est d'être nul en,Grammaire,Sexe
On an empty stomach,Angry,Brain is turned off,L'estomac vide,Sur les nerfs,Le cerveau est éteint
You Argue,About everything,As little as possible,Vous vous plaignez,De tout,Du moins possible
Better for the FIFA World Cup,Every summer,Once a decade,Mieux pour la Coupe du Monde de la FIFA,Chaque été,Une fois par décennie
Own,Forever puppy,Forever kitten,Posséder,Chiot pour toujours,Chaton pour toujours
Dance,Slow and sensual,Frenzied,Danse,Lent et sensuel,Frénétique
Sauce for your fries,Yogurt,Jam,Sauce pour vos frites,Yaourt,Confiture
Marry someone who,Smells bad,Never stop talking,Épousez quelqu'un qui,Sent mauvais,N'arrête jamais de parler
Condom,Textured,Glow in the dark,Préservatif,Texturé,Brille dans le noir
Orgy,With people I know,With unknown people,Orgie,Avec des gens que je connais,Avec des inconnus
Spend dirty money,For a charity,At the casino,Dépenser de l'argent sale,Pour une œuvre de charité,Au casino
Stuck alone in an elevator,You panic,You take a nap,Coincé seul dans un ascenseur,Vous paniquez,Tu fais une sieste
Radio,Current Top hits,Classic hits,Radio,Les plus grands succès du moment,Les tubes classiques
Sexier uniform,Cop,Nurse/Doctor,Uniforme le plus sexy,Flic,Infirmière/Médecin
Favorite accent,French,British,Accent préféré,Suisse,Britannique
Live and earn,In the city for minimum wage,In the countryside for high salary,Vivez et gagnez,En ville pour le salaire minimum,À la campagne pour un salaire élevé
Forced fed,Tortoise,Snake,Alimenté de force,Tortue,Serpent
1 year,Vow of silence,Vow of chastity,1 an,Vœu de silence,Vœu de chasteté
Ski vacation,Fondue and raclette,On the slopes,Vacances au ski,Fondue and raclette,Sur les pentes
Your neighbors are fighting,Cover it with music,Eavesdrop,Vos voisins se battent,Recouvrez-le de musique,Écouter aux portes
The worst neighbors,3 babies who cry non-stop,A couple who fucks 24/7,Les pires voisins,3 bébés qui pleurent sans arrêt,Un couple qui baise 24h/24 et 7j/7
You would rather be,Famous and rich,Unknown but without savings,Vous préféreriez être,Célèbre et riche,Inconnu mais sans économies
In the forest,You search for beautiful plants,You search for animals,Dans la forêt,Vous recherchez de belles plantes,Vous recherchez des animaux
Amputate,One of your arms,Your tongue,Amputer,Un de vos bras,Ta langue
Lunch break,10 minutes,Hour and maybe a half,Pause déjeuner,10 minutes,Une heure et demie peut-être
At the end of a rainbow,Real treasure,Real unicorn,Au bout d'un arc-en-ciel,Véritable trésor,Vraie licorne
When drunk,Sleepy or less active,Hyperactive,Quand il est ivre,Somnolence ou baisse d'activité,Hyperactif
Concert,At the back of a big show,At the front of a small gig,Concert,À l'arrière d'un grand spectacle,En tête d'un petit concert
New TV Series hit,Binge it,Savour it,Nouvelle série télévisée à succès,Regardez-le en rafale,Savourez-le
Worse to rub on your face,Sandpaper,Worms,Pire encore de se frotter le visage,Papier de verre,Vers
Piercing,Your tongue,Your nipple,Perçant,Ta langue,Ton téton
Walk barefoot on,Legos,Cow dung,Marchez pieds nus sur,Legos,Bouse de vache
Get a new talent,Contortionism,Imitating regional accents,Découvrez un nouveau talent,Contorsionnisme,Imiter les accents régionaux
Taste of whiskey,Classy,Shitty,Goût du whisky,Chic,Merdique
Breakup phrase,"It's not you, it's me",Thinkgs were moving too quickly,Phrase de rupture,"Ce n'est pas toi, c'est moi",Les choses allaient trop vite
Shit out,1 tennis ball,1L of spicy sauce,Merde,1 balle de tennis,1L de sauce piquante
"Say ""I love you""",On the first date,Never!,Dis « Je t'aime »,Le premier rendez-vous,Jamais!
Year off,Travel very far,Travel around,Année sabbatique,Voyager très loin,Voyager autour
Being President,Got what it takes,Impossible,Être président,J'ai ce qu'il faut,Impossible
Eyebrows for the rest of your life,Unibrow,Completely shaved,Des sourcils pour le restant de vos jours,Sourcil unique,Complètement rasé
Year end exam,Minimum to pass,S grade,Examen de fin d'année,Note minimale requise pour réussir,Grade S
End all your sentences with,You know,Bitch,Terminez toutes vos phrases par,Tu sais,Chienne
Most sensitive topic,Politics,Money,Sujet très sensible,Politique,Argent
Sex slave to,Person to your left,Person to your right,Esclave sexuelle,Personne à votre gauche,Personne à votre droite
Fight against,A tiger,A shark,Lutte contre,Un tigre,Un requin
Watching a game,With commercials every 2 minutes,In slow motion,Regarder un match,Avec des publicités toutes les 2 minutes,Au ralenti
Videogames,PC,Console,Jeux vidéo,PC,Console
Win,Oscar,Nobel prize,Gagner,Oscar,Prix Nobel
When you run,Look so athletic,Look so sad,Quand tu cours,Elle a l'air si athlétique,Ça a l'air si triste
"In the last 12 months, pee in the shower",More than 3 times,Less than 3 times,"Au cours des 12 derniers mois, j'ai uriné sous la douche",Plus de 3 fois,Moins de 3 fois
Trust to watch your kids,Person to your left,Person to your right,Confiez-nous la surveillance de vos enfants,Personne à votre gauche,Personne à votre droite
Fetish,Feet,Latex,Fétiche,Pieds,Latex
Ruins pizza,Anchovies,Olives,Pizza en ruine,Anchois,Olives
Haircut,Mohawk,Mullet,Coupe de cheveux,Mohawk,Mulet
Work fantasy,Plumber,Boss/secretary,Fantaisie au travail,Plombier,Patron/secrétaire
Break up,Stay friends,Out of my life,Rompre,Restez amis,Hors de ma vie
Fart in front of your partner,After 1 week,After 5 years,Péter devant son/sa partenaire,Après 1 semaine,Après 5 ans
Choosing your order at a restaurant,Takes 20 minutes,Takes 10 seconds,Choisir sa commande au restaurant,Cela prend 20 minutes,Cela prend 10 secondes
Toothbrush,Electric,Manual,Brosse à dents,Électrique,Manuel
Drinking,Mix and Match,One pick for the night,Boire,Mélangez et assortissez,Un choix pour la soirée
Already full but comes your favorite dessert,Eat and be sick,Skip,"Déjà rassasié, mais arrivez votre dessert préféré",Mangez et soyez malade,Sauter
Explore,The ocean depths,The edges of space,Explorer,Les profondeurs de l'océan,Les limites de l'espace
Most awkward to walk in during action in bed,Your parents on you,You on your parents,Le plus gênant est d'entrer pendant une action au lit,Tes parents sur toi,Toi sur tes parents
Worst to have a chastity belt,Every weekend forever,For 2 years from now,"Le pire, c'est d'avoir une ceinture de chasteté",Chaque week-end pour toujours,Dans deux ans à venir
Tour of,Gay clubs,Strip clubs,Visite de,Clubs gays,Clubs de strip-tease
Your farts,Loud,Smelly,Vos pets,Fort,Malodorant
At the pool,30 laps,Lay in the shallow end,À la piscine,30 tours,Allongez-vous dans la partie peu profonde
At the bar,Drinks are on me!,I forgot my wallet...,Au bar,C'est moi qui offre les boissons !,J'ai oublié mon porte-monnaie...
Usually overestimate,Your physical abilities,Your memory,Surestimer généralement,Vos capacités physiques,Votre mémoire
Worst drivers,Drive slow in the fast lane,Stick to your back,Les pires conducteurs,Roulez lentement sur la voie de gauche,Restez près de votre dos
Speak,22 living languages,To animals,Parler,22 langues vivantes,Aux animaux
"In 10 years, you dream of being",Settler on Mars,Ruler on Earth,"Dans 10 ans, vous rêvez d'être",Colon sur Mars,Souverain sur Terre
Be better in,Math,History,Soyez meilleur en,Mathématiques,Histoire
A world without,Screens,Music,Un monde sans,Écrans,Musique
When you wake up,You scratch your scrotch,You fart,Quand tu te réveilles,Tu te grattes l'entrejambe,Tu pètes
Arrive at a meeting,Early,Late,Arriver à une réunion,Tôt,En retard
Your guilty pleasure,Kids TV show,Dumb Reality TV show,Votre plaisir coupable,Émission télévisée pour enfants,Émission de télé-réalité stupide
Genetically engineer,T-rex,Unicorn,Meilleur création génétique,T-rex,Licorne
Shopping,Online,In shops,Achats,En ligne,Dans les magasins
Sex with,Lights On,Lights Off,Sexe avec,Lumières allumées,Lumières éteintes
Once Every Monday you can,Shit gold,Teleport,"Une fois par lundi, vous pouvez",Chier de l'or,Téléportation
Worst sort of text to send to your boss,Sext,Gossip... about your boss,Le pire type de SMS à envoyer à son patron,Sexto,Des ragots… sur votre patron
Run naked,Through cacti,In front of coworkers,Courir nu,À travers les cactus,Devant ses collègues
Get your diploma,"With honors, by cheating","Fairly, on the 3rd try",Obtenez votre diplôme,"Avec les honneurs, en trichant","Honnêtement, au troisième essai"
Steal,Toilet paper from the office,Robe from the hotel,Voler,Papier toilette du bureau,Robe de l'hôtel
Masturbation,3 times per year,3 times per day,Masturbation,3 fois par an,3 fois par jour
Your friend is being cheated on,You tell them,You keep the secret,Ton ami est trompé,Tu leur dis,Tu gardes le secret
Sneezing while drunk,You fart at the same time,You vomit in your mouth,Éternuer en étant ivre,Vous pétez en même temps,Tu vomis dans ta bouche
Two people fighting,You film them,You separate them,Deux personnes se battent,Vous les filmez,Vous les séparez
At the grocery,"You get more than needed, much more",Strict minimum,À l'épicerie,"Vous en avez plus que nécessaire, beaucoup plus",Minimum strict
Shopping spree,With pleasure!,"No, thank you",Virée shopping,Avec plaisir!,"Non, merci"
Know,How you will die,When your partner will die,Savoir,Comment tu vas mourir,Quand votre partenaire mourra
Karaoke,Try hard,Scream hard,Karaoké,Essayez fort,Criez fort
Worst situation in the street,Step in a dog shit,Pigeon poops on you,La pire situation de la rue,Marcher dans une crotte de chien,Un pigeon te fait dessus
Vacation home,Vatican,Versailles,Maison de vacances,Vatican,Versailles
What you like about your job,Your salary,Your coworkers,Ce que vous aimez dans votre travail,Votre salaire,Vos collègues
Sniff,Your farts under the cover,Your underwear to re-use them,Renifler,Tes pets sous la couverture,Vos sous-vêtements à réutiliser
Drink,1 Glass of blood,1 Glass of sperm,Boire,1 verre de sang,1 verre de sperme
Win the lottery,"$100,000 this year","$1,000,000 in 10 years",Gagnez à la loterie,100 000 $ cette année,1 000 000 $ en 10 ans
Hurt friendship more,Forget to wish you happy birthday,Forget to pay you back,Blesser l'amitié davantage,J'ai oublié de te souhaiter un joyeux anniversaire,J'ai oublié de te rembourser
Never again have to do,Laundry,Dishes,Plus jamais besoin de le faire,Lessive,Plats
Most likely midlife crisis,You get in debt to start your company,You leave everything to raise goats,Très probablement une crise de la quarantaine,Vous vous endettez pour créer votre entreprise,Vous laissez tout pour élever des chèvres
Never again suffer from,Lack of sleep,Hunger,Ne souffrez plus jamais de,Manque de sommeil,Faim
Worst to forever have bad,Internet connection,Breath,"Le pire, c'est d'avoir toujours de mauvais",Sa connexion Internet,Haleine
Reading this book on the tube,Why can't I please my partner,Fisting for Dummies,Je lis ce livre dans le métro,Pourquoi est-ce que je n'arrive pas à satisfaire mon/ma partenaire,Le fisting pour les nuls
Ideal home,Big living room,Big kitchen,Maison idéale,Grand salon,Grande cuisine
Pornhub Goal,Watch every video,Get 1 Million views on your video,Objectif Pornhub,Regardez toutes les vidéos,Obtenez 1 million de vues sur votre vidéo
As a couple,"Fights, but mind-blowing sex","Never fight, but no touching",En couple,"Des disputes, mais un sexe à couper le souffle","Ne jamais se battre, mais ne pas se toucher"
Prefer to carpool with a,Scientologist,Flat earther,Je préfère covoiturer avec un,Scientologue,Platiste (terre plate)
See the future,For yourself,For your loved ones,Voir l'avenir,Pour toi-même,Pour vos proches
Being world champion of,"Rock, Paper, Scissors",Bilboquet/Cup and ball,Être champion du monde de,"Pierre, feuille, ciseaux",Bilboquet/Coupe et balle
Lick a body smeared with,Chocolate,Champagne,Lécher un corps enduit de,Chocolat,Champagne
Kill,A close friend,Two babies,Tuer,Un ami proche,Deux bébés
When you're bored,Snack on everything,Binge TV shows,Quand tu t'ennuies,Grignotez tout,Séries télévisées à regarder en rafale
Swim with,Dolphins,Wales,Nager avec,Dauphins,Pays de Galles
Classic email mistake,Reply all by accident,You forget the attachment,Erreur classique dans l'email,Répondre à tous par accident,Vous oubliez l'attachement
Meal,At least 20 photos,Refill at least 5 times,Repas,Au moins 20 photos,Remplir au moins 5 fois
Videogames,It was better 20 years ago,The new stuff is better,Jeux vidéo,C'était mieux il y a 20 ans,Les nouveaux produits sont meilleurs
Picking a beach,Crowded sandy beach,Deserted pebble beach,Choisir une plage,Plage de sable bondée,Plage de galets déserte
Befriend,An alien,A robot,Se faire des amis,Un extraterrestre,Le robot
Amazing orgasm every time,For you,For your partners,Orgasme incroyable à chaque fois,Pour toi,Pour vos partenaires
Reuse,Condom,Toilet paper,Réutiliser,Préservatif,Papier toilette
Take a dump,With someone in the next stall,While talking on the phone,Aller aux toilettes,Avec quelqu'un dans la cabine d'à côté,Tout en parlant au téléphone
Live in the world of,"Star Wards, as a Jedi","X-Men, as a mutant",Vivez dans le monde de,"Star Wars, en tant que Jedi","X-Men, en tant que mutant"
Mint chocolate chip ice cream,You eat it,You erase it from the planet,Crème glacée à la menthe et aux pépites de chocolat,Tu le manges,Vous l'effacez de la planète
Your best birthday,Just friends,Just family,Ton meilleur anniversaire,Juste des amis,Juste la famille
Tatto,Hidden,Visible,Touche,Caché,Visible
You regularly forget,Your keys,Your password,Vous oubliez régulièrement,Vos clés,Votre mot de passe
You have the flu,Non stop whinning,One suppository and done,Vous avez la grippe,Gémissements incessants,Un suppositoire et c'est tout
Pubes,Shave it,Natural/Trim it,Pubis,Rasez-le,Naturel/Taillez-le
When you're wrong,Admit your mistake,I'm never wrong,Quand tu as tort,Avouez votre erreur,Je n'ai jamais tort
Orgy with,Your neighbors,Your coworkers,Orgie avec,Vos voisins,Vos collègues
French,Cheese,Wine,Français,Fromage,Vin
In a plan,You worry,You enjoy,Dans un plan,Vous vous inquiétez,Vous appréciez
The worst people on dating app,Just say 'hey wyd?',Look nothing like their photo,Les pires personnes sur une application de rencontre,Dis simplement « hey wyd ? »,Ils ne ressemblent en rien à leur photo
Would hurt you the most,Get cheated on,Have your bank account emptied,Cela te ferait le plus de mal,Se faire tromper,Faites vider votre compte bancaire
At a restaurant,Just the usual',Wild menu pick,Dans un restaurant,Rien d'inhabituel,Choix de menu sauvage
Give your name to,A sex position,A drug,Donnez votre nom à,Une position sexuelle,Un médicament
TV night with friends,Classic movie,Stupid/B movie,Soirée télé entre amis,Film classique,Film stupide/de série B
Wearing clothes,Clean but damp,Dry but dirty,Porter des vêtements,Propre mais humide,Sec mais sale
After winning,Loud bragging,Fake modesty,Après avoir gagné,Se vanter bruyamment,Fausse modestie
Blowjob,In the car,At the cinema,Fellation,Dans la voiture,Au cinéma
Free ticket for any plastic surgery,Take it,Leave it,Billet gratuit pour toute chirurgie plastique,Prenez-le,Laissez tomber
Unforgivable,Drunk driving,Smoking near a pregnant person,Impardonnable,Conduite en état d'ivresse,Fumer à proximité d'une femme enceinte
Watching movies,"Shhhh, keep quiet",Comment all along,Regarder des films,"Chut, tais-toi",Commentez tout le temps
Worst to find out that,Your friends are paid actors,The meat you ate was human flesh,Le pire serait de découvrir cela,Vos amis sont des acteurs rémunérés,La viande que vous avez mangée était de la chair humaine
Preferred sexual position,You on top,You at the bottom,Position sexuelle préférée,Vous êtes au-dessus,"Vous, tout en bas"
Worst to never be able to wash,Below waist,Above waist,"Le pire, c'est de ne jamais pouvoir se laver.",Sous la taille,Au-dessus de la taille
Have an affair with,Rich and famous,Sexy and funnny,Avoir une liaison avec,Riches et célèbres,Sexy et drôle
Pisses you off,I told you so,You don't know that!?,Ça te met en colère,Je te l'avais dit !,Vous ne le savez pas ?!
Reincarnation,As a man,As a woman,Réincarnation,En tant qu'homme,En tant que femme
Propose where,In a private place,In a public place,Proposer où,Dans un lieu privé,Dans un lieu public
Must pay a debt,You sell a kindney,You sell your body,Je dois rembourser une dette,Vous vendez un enfant,Tu vends ton corps
Naked in public showers with others,You look at everyone else,You stare at the ground,Nus dans les douches publiques avec d'autres personnes,Vous regardez tous les autres,Tu fixes le sol du regard.
Perfect excuse,Family problem,Health problem,Excuse parfaite,Problème familial,Problème de santé
Forever live without,Laughter,Orgasm,Vivre pour toujours sans,Rire,Orgasme
Get stuck with,Your finger in a butt,A finger in your butt,Se retrouver coincé avec,Ton doigt dans les fesses,Un doigt dans les fesses
Better tv show,Cooking show,Popular Reality TV show,Meilleure émission de télévision,Émission culinaire,Émission de téléréalité populaire
Work,Passion but uncertain income,Boring but predictable income,Travail,Passion mais revenus incertains,Revenus ennuyeux mais prévisibles
Freedom vs Responsibility,Personal freedom first,Society comes first,Liberté contre responsabilité,La liberté individuelle d'abord,La société passe avant tout
I have to tell you...,Honest but hurtful,Nice but dishonest,Je dois vous dire...,Honnête mais blessant,Sympa mais malhonnête
An AI powered politic regime,Could work,Nuclear war in 6 months,Un régime politique alimenté par l'IA,Ça pourrait marcher,Guerre nucléaire dans 6 mois
Manage money,"Live now, spend","Plan ahead, save",Gérer son argent,"Vivez maintenant, dépensez","Prévoyez à l'avance, économisez"
If you could get more,Time,Money,Si vous pouviez en obtenir davantage,Temps,Argent
Parenting,Strict and safe,Loose and free,Parentalité,Strict et sûr,Libre et détendu
Charity,Help locally,Help globally,Charité,Aide locale,Aider à l'échelle mondiale
Beliefs,Speak your truth,Keep peace,Croyances,Dis la vérité,Gardez la paix
Ethics,Use animal tests,Risk human life,Éthique,Utiliser des tests sur les animaux,Mettre en danger la vie humaine
Commute,Tube packed but fast,Bus slow but comfy,Navette,Tube emballé mais rapide,Bus lent mais confortable
Morning,Coffee first,Shower first,Matin,Café d'abord,Douche d'abord
Work lunch,Cook at home,Buy on the go,Déjeuner d'affaires,Cuisinez à la maison,Achetez en déplacement
Weather,Rain and cool,Sun and hot,Météo,Pluie et fraîcheur,Soleil et chaleur
Phone,iOS and locked,Android and open,Téléphone,iOS et verrouillé,Android et ouvert
Shopping,One big trip,Small trips often,Achats,Un grand voyage,Les petits voyages souvent
Noise,Headphones always,Embrace the city,Bruit,Les écouteurs toujours,Embrassez la ville
Sleep,Early to bed,Late and wild,Dormir,Coucher tôt,Tardif et sauvage
